CustomerKey,Customer_ID,Customer,City,State_Province,Country_Region,Postal_Code
-1,[Not Applicable],[Not Applicable],[Not Applicable],[Not Applicable],[Not Applicable],[Not Applicable]
11000,AW00011000,Jon Yang,Rockhampton,Queensland,Australia,4700
11001,AW00011001,Eugene Huang,Seaford,Victoria,Australia,3198
11002,AW00011002,Ruben Torres,Hobart,Tasmania,Australia,7001
11003,AW00011003,Christy Zhu,North Ryde,New South Wales,Australia,2113
11004,AW00011004,Elizabeth Johnson,Wollongong,New South Wales,Australia,2500
11005,AW00011005,Julio Ruiz,East Brisbane,Queensland,Australia,4169
11006,AW00011006,Janet Alvarez,Matraville,New South Wales,Australia,2036
11007,AW00011007,Marco Mehta,Warrnambool,Victoria,Australia,3280
11008,AW00011008,Rob Verhoff,Bendigo,Victoria,Australia,3550
11009,AW00011009,Shannon Carlson,Hervey Bay,Queensland,Australia,4655
11010,AW00011010,Jacquelyn Suarez,East Brisbane,Queensland,Australia,4169
11011,AW00011011,Curtis Lu,East Brisbane,Queensland,Australia,4169
11012,AW00011012,Lauren Walker,Bremerton,Washington,United States,98312
11013,AW00011013,Ian Jenkins,Lebanon,Oregon,United States,97355
11014,AW00011014,Sydney Bennett,Redmond,Washington,United States,98052
11015,AW00011015,Chloe Young,Burbank,California,United States,91502
11016,AW00011016,Wyatt Hill,Imperial Beach,California,United States,91932
11017,AW00011017,Shannon Wang,Sunbury,Victoria,Australia,3429
11018,AW00011018,Clarence Rai,Bendigo,Victoria,Australia,3550
11019,AW00011019,Luke Lal,Langley,British Columbia,Canada,V3A 4R2
11020,AW00011020,Jordan King,Metchosin,British Columbia,Canada,V9
11021,AW00011021,Destiny Wilson,Beaverton,Oregon,United States,97005
11022,AW00011022,Ethan Zhang,Bellingham,Washington,United States,98225
11023,AW00011023,Seth Edwards,Bellflower,California,United States,90706
11024,AW00011024,Russell Xie,Concord,California,United States,94519
11025,AW00011025,Alejandro Beck,Hawthorne,Queensland,Australia,4171
11026,AW00011026,Harold Sai,Goulburn,New South Wales,Australia,2580
11027,AW00011027,Jessie Zhao,Warrnambool,Victoria,Australia,3280
11028,AW00011028,Jill Jimenez,St. Leonards,New South Wales,Australia,2065
11029,AW00011029,Jimmy Moreno,Bendigo,Victoria,Australia,3550
11030,AW00011030,Bethany Yuan,Cloverdale,South Australia,Australia,6105
11031,AW00011031,Theresa Ramos,Matraville,New South Wales,Australia,2036
11032,AW00011032,Denise Stone,Melbourne,Victoria,Australia,3000
